key,cz,en,ch
aw_city_local_court_entry,地方官署,Local Government,地方官署
aw_open_city_local_court,打开该城市的地方官署,Open this city's local government,打开该城市的地方官署
aw_local_court_builtin_type,地方官署,Local Government,地方官署
aw_local_court_city_type,城市类型,City Type,城市类型
aw_local_court_seats,官员 {0}/{1},Officials {0}/{1},官员 {0}/{1}
aw_local_court_card_summary,官员 {0}/{1}  效率 {2},Officials {0}/{1}  Efficiency {2},官员 {0}/{1}  效率 {2}
aw_local_court_choose_template,选择地方官署模板,Choose local government,选择地方官署模板
aw_custom_court_context,编辑层级,Edit layer,编辑层级
aw_custom_court_context_desc,切换编辑中央朝廷或地方官署模板,Switch between the central court and local government templates,切換編輯中央朝廷或地方官署模板
aw_custom_local_court_name,地方官署模板名,Local template name,地方官署模板名
aw_custom_local_court_template_desc,选择要编辑的地方官署模板,Choose the local government template to edit,選擇要編輯的地方官署模板
aw_custom_local_court_create,新建地方模板,New Local,新建地方模板
aw_custom_local_court_create_desc,新建一个空白的地方官署模板,Create an empty local government template,新建一個空白的地方官署模板
aw_custom_local_court_duplicate,复制模板,Duplicate,复制模板
aw_custom_local_court_duplicate_desc,复制当前模板及其全部官职和关系,Copy the selected template with all offices and links,複製目前模板及其全部官職和關係
aw_custom_local_court_delete,删除地方模板,Delete Local,删除地方模板
aw_custom_local_court_delete_desc,删除当前模板并按需将城市改用替代模板,Delete this template and rebind its cities when required,刪除目前模板並按需將城市改用替代模板
aw_custom_local_court_manual,仅手动指定,Manual only,仅手动指定
aw_custom_local_court_civil,民政默认,Civil default,民政默认
aw_custom_local_court_military,军政默认,Military default,军政默认
aw_custom_local_court_default_kind,默认用途,Default use,默认用途
aw_custom_local_court_default_kind_desc,设置此模板自动用于普通城市或军事重镇,Assign this template automatically to civil or military cities,設定此模板自動用於普通城市或軍事重鎮
aw_custom_local_court_replacement,删除时替换为,Replacement when deleting,删除时替换为
aw_custom_local_court_replacement_desc,选择删除当前模板后城市改用的模板,Choose the template used by cities after deletion,選擇刪除目前模板後城市改用的模板
aw_custom_local_court_limit,地方官署模板已达到上限,The local template limit has been reached,地方官署模板已达到上限
aw_custom_local_court_default_name,地方官署,Local Government,地方官署
aw_court_governor,地方长官,Governor,地方長官
aw_custom_local_court_copy,副本,Copy,副本
aw_custom_local_court_replacement_required,请先为正在使用此模板的城市选择替代模板,Choose a replacement for cities using this template,请先为正在使用此模板的城市选择替代模板
aw_custom_court_whole_preset,整套官场预设,Whole-court preset,整套官場預設
aw_custom_court_whole_preset_select,选择整套官场预设,Select whole-court preset,選擇整套官場預設
aw_custom_court_whole_preset_locked,未解锁,Locked,未解鎖
aw_custom_court_whole_preset_locked_requirement,需要先解锁{0}才能使用这套预设,Unlock {0} before using this preset,需要先解鎖{0}才能使用這套預設
aw_custom_court_whole_preset_loaded,已载入整套官场预设：{0},Whole-court preset loaded: {0},已載入整套官場預設：{0}
aw_custom_court_whole_preset_unavailable,当前国家没有可用的整套官场预设,Whole-court presets are unavailable for this realm,目前國家沒有可用的整套官場預設
aw_custom_court_whole_preset_empty,所选整套官场预设没有可用官职,The selected whole-court preset has no offices,所選整套官場預設沒有可用官職
aw_custom_court_whole_preset_cycle,整套官场：{0},Whole court: {0},整套官場：{0}
aw_custom_court_workflow,自定义朝廷,Custom Court Workflow,自定义朝廷
aw_custom_court_workflow Title,自定义朝廷工作流,Custom Court Workflow,自定义朝廷工作流
aw_custom_court_workflow_title,自定义朝廷工作流,Custom Court Workflow,自定义朝廷工作流
aw_custom_court_back,返回官场,Back to court,返回官場
aw_custom_court_back_desc,返回打开本编辑器的国家官场或当前城市官署,Return to the realm court or city government that opened this editor,返回打開本編輯器的國家官場或目前城市官署
aw_custom_local_court_workflow,自定义官府,Custom Local Government,自訂官府
aw_custom_local_court_workflow Title,自定义官府,Custom Local Government,自訂官府
aw_custom_local_court_workflow_title,自定义官府,Custom Local Government,自訂官府
aw_custom_local_court_workflow_desc,编辑该城市当前采用的地方官署模板,Edit the local government template currently used by this city,編輯該城市目前採用的地方官署模板
aw_local_court_minzhou,民州,Civil Prefecture,民州
aw_local_court_junfu,军府,Military Government,軍府
aw_local_office_zhoumu,州牧,Governor,州牧
aw_local_office_changshi,长史,Chief Clerk,長史
aw_local_office_sihu,司户,Household Officer,司戶
aw_local_office_sicang,司仓,Granary Officer,司倉
aw_court_office_minzhou_governor,州牧,Governor,州牧
aw_court_office_minzhou_changshi,长史,Chief Clerk,長史
aw_court_office_minzhou_sihu,司户,Household Officer,司戶
aw_court_office_minzhou_sicang,司仓,Granary Officer,司倉
aw_local_office_dudu,都督,Commander,都督
aw_local_office_sima,司马,Marshal,司馬
aw_local_office_canjun,参军,Staff Officer,參軍
aw_custom_court_add_office,添加官职,Add Office,添加官职
aw_custom_court_add_office_desc,在当前可见画布中央新建官职卡片,Create an office card at the center of the visible canvas,在目前可見畫布中央新建官職卡片
aw_custom_court_management_edge,管理关系,Management,管理关系
aw_custom_court_prerequisite_edge,任职前置,Prerequisite,任职前置
aw_custom_court_export,导出,Export,导出
aw_custom_court_export_desc,将当前模板导出到模组 Courtjson 的中央或地方子文件夹,Export the current template to the Central or Local folder under Courtjson,將目前模板匯出到模組 Courtjson 的中央或地方子資料夾
aw_custom_court_import,导入,Import,导入
aw_custom_court_exported_path,导出成功：{0},Exported successfully: {0},导出成功：{0}
aw_custom_court_import_select,导入 JSON,Import JSON,导入 JSON
aw_custom_court_import_select_desc,中央朝廷与地方官署分别从对应的 JSON 文件夹导入,Import central courts and local governments from their separate JSON folders,中央朝廷與地方官署分別從對應的 JSON 資料夾匯入
aw_custom_court_import_no_files,没有 JSON 文件,No JSON files,没有 JSON 文件
aw_custom_court_import_central_select,导入中央朝廷 JSON,Import central court JSON,匯入中央朝廷 JSON
aw_custom_court_import_central_no_files,没有中央朝廷 JSON,No central court JSON files,沒有中央朝廷 JSON
aw_custom_local_court_import_select,导入地方官署 JSON,Import local government JSON,匯入地方官署 JSON
aw_custom_local_court_import_no_files,没有地方官署 JSON,No local government JSON files,沒有地方官署 JSON
aw_custom_court_import_invalid,选择的 JSON 文件无效,The selected JSON file is invalid,选择的 JSON 文件无效
aw_custom_court_apply,应用,Apply,应用
aw_custom_court_apply_desc,将当前朝廷和地方官署模板应用到这个国家,Apply this court and its local templates to the current kingdom,將目前朝廷和地方官署模板套用到這個國家
aw_custom_court_save,保存,Save,保存
aw_custom_court_save_desc,将当前模板保存为 JSON 但不立即应用,Save the current template as JSON without applying it,將目前模板儲存為 JSON 但不立即套用
aw_custom_court_name,官场名称,Court name,官场名称
aw_custom_court_name_desc,设置当前朝廷或地方官署模板的显示名称,Set the displayed name of the current court or local template,設定目前朝廷或地方官署模板的顯示名稱
aw_custom_court_name_placeholder,输入官场名称,Enter court name,输入官场名称
aw_custom_court_name_required,请先输入官场名称,Enter a court name before saving.,请先输入官场名称
aw_custom_court_saved,官场已保存,Court saved.,官场已保存
aw_custom_court_ready,就绪,Ready,就绪
aw_custom_court_exported,模板已导出,Template exported.,模板已导出
aw_custom_court_imported,模板已导入,Template imported.,模板已导入
aw_custom_court_applied,模板已应用,Template applied.,模板已应用
aw_custom_court_invalid,模板无效,Template is invalid.,模板无效
aw_custom_court_not_found,模板不存在,Template not found.,模板不存在
aw_custom_court_select_two,请先选择两个官职卡片,Select two office cards first.,请先选择两个官职卡片
aw_custom_court_cycle,连接会形成环,That connection would create a cycle.,连接会形成环
aw_custom_court_edge_added,连接已添加,Connection added.,连接已添加
aw_custom_court_office_name,官职名称,Office name,官職名稱
aw_custom_court_office_name_placeholder,输入官职名称,Enter office name,輸入官職名稱
aw_custom_court_office_default,官职,Office,官職
aw_custom_court_delete_office,删除官职,Delete office,刪除官職
aw_custom_court_delete_office_desc,删除此官职卡片及其全部连接关系,Remove this office card and all of its connections,刪除此官職卡片及其全部連接關係
aw_custom_court_office_renamed,官职已重命名,Office renamed.,官職已重新命名
aw_custom_court_management_edge_desc,第一个官职管理第二个官职并决定官场层级排版,The first office manages the second and defines the court hierarchy.,第一個官職管理第二個官職並決定官場層級排版
aw_custom_court_prerequisite_edge_desc,必须先担任第一个官职才可任命到第二个官职,The first office must be held before appointment to the second.,必須先擔任第一個官職才可任命到第二個官職
aw_custom_court_edge_management_short,管理,Manage,管理
aw_custom_court_edge_prerequisite_short,前置,Requires,前置
aw_custom_court_office_settings,官职设置,Office Settings,官職設定
aw_custom_court_office_settings Title,官职设置,Office Settings,官職設定
aw_custom_court_office_settings_desc,设置官职属性、任职条件与实际效果,Configure office attributes appointment requirements and live effects,設定官職屬性、任職條件與實際效果
aw_custom_court_settings_base_tab,基础与任职,Base and Appointment,基礎與任職
aw_custom_court_settings_base_tab_desc,设置官职名称层级品级席位与任职条件,Edit office identity hierarchy grade slots and appointment requirements,設定官職名稱層級品級席位與任職條件
aw_custom_court_settings_effects_tab,职能效果,Functional Effects,職能效果
aw_custom_court_settings_effects_tab_desc,设置有人任职时实际生效的官职加成,Configure live bonuses while this office has an incumbent,設定有人任職時實際生效的官職加成
aw_custom_court_settings_confirm,确定,Confirm,確定
aw_custom_court_settings_confirm_desc,验证设置并返回自定义官场编辑器,Validate settings and return to the custom court editor,驗證設定並返回自訂官場編輯器
aw_custom_court_settings_cancel,取消,Cancel,取消
aw_custom_court_settings_cancel_desc,放弃本窗口内尚未确认的改动,Discard unconfirmed changes made in this window,放棄本視窗內尚未確認的改動
aw_custom_court_settings_preset,原版官职预设,Built-in office preset,原版官職預設
aw_custom_court_settings_preset_desc,复制当前国家已经解锁的原版官职属性并保留自定义任职条件和效果,Copy properties from an unlocked built-in office while preserving custom requirements and effects,複製目前國家已解鎖的原版官職屬性並保留自訂任職條件和效果
aw_custom_court_settings_preset_select,选择原版官职预设,Select built-in office preset,選擇原版官職預設
aw_custom_court_settings_preset_locked,未解锁,Locked,未解鎖
aw_custom_court_settings_preset_locked_message,当前国家官制尚未解锁这个官职预设,The current court institution has not unlocked this office preset,目前國家官制尚未解鎖這個官職預設
aw_custom_court_settings_preset_applied,已应用原版官职预设,Built-in office preset applied,已套用原版官職預設
aw_custom_court_office_name_desc,这个名称会显示在官场和官职卡片上,This name is displayed in the court and on the office card,這個名稱會顯示在官場和官職卡片上
aw_custom_court_settings_layer,官场层级,Layer,官場層級
aw_custom_court_settings_layer_desc,决定官职所属的官场区域和层级分类,Controls the court section and hierarchy containing this office,決定官職所屬的官場區域和層級分類
aw_custom_court_settings_grade,品级,Grade,品級
aw_custom_court_settings_grade_desc,用于比较官职地位和官场排序的正式品级,The formal grade used to rank this office against others,用於比較官職地位和官場排序的正式品級
aw_custom_court_settings_slots,官位数量,Slots,官位數量
aw_custom_court_settings_slots_desc,允许同时担任这个官职的人数,The number of officials who may hold this office at once,允許同時擔任這個官職的人數
aw_custom_court_settings_military,可统军,Military capable,可統軍
aw_custom_court_settings_military_desc,决定任职者是否可以承担军事职能,Controls whether office holders may perform military duties,決定任職者是否可以承擔軍事職能
aw_custom_court_settings_preferred_school,偏好学派,Preferred school,偏好學派
aw_custom_court_settings_preferred_school_desc,属于该学派的候选人会获得任职倾向,Applicants from this school receive appointment preference,屬於該學派的候選人會獲得任職傾向
aw_custom_court_settings_minimum_rank,最低等级,Minimum rank,最低等級
aw_custom_court_settings_minimum_rank_desc,候选人必须达到的最低仕途等级,The lowest career rank required for appointment,候選人必須達到的最低仕途等級
aw_custom_court_settings_required_school,要求学派,Required school,要求學派
aw_custom_court_settings_required_school_desc,只有属于指定学派的人才能担任该官职,Only members of the selected school may hold this office,只有屬於指定學派的人才能擔任該官職
aw_custom_court_settings_required_trait,要求特质,Required trait,要求特質
aw_custom_court_settings_required_trait_desc,只有拥有填写的准确特质ID才能担任该官职,Only candidates with the exact entered trait ID are eligible,只有擁有填寫的準確特質ID才能擔任該官職
aw_custom_court_settings_required_office,前置官职,Required office,前置官職
aw_custom_court_settings_required_office_desc,候选人必须已经担任指定官职,The candidate must already hold the selected prerequisite office,候選人必須已經擔任指定官職
aw_custom_court_settings_effect,效果,Effect,效果
aw_custom_court_settings_effect_desc,当前正在设置的官职加成种类,The type of office bonus being configured,目前正在設定的官職加成種類
aw_custom_court_settings_enabled,启用,Enabled,啟用
aw_custom_court_settings_enabled_desc,开启或关闭这一项官职加成,Enable or disable this office bonus,開啟或關閉這一項官職加成
aw_custom_court_settings_disabled,停用,Disabled,停用
aw_custom_court_settings_scope,作用范围,Scope,作用範圍
aw_custom_court_settings_scope_desc,选择国家城市军队或官场等生效对象,Choose the realm area that receives this bonus,選擇國家城市軍隊或官場等生效對象
aw_custom_court_settings_mode,计算方式,Mode,計算方式
aw_custom_court_settings_mode_desc,选择固定增加百分比增加或倍率计算,Choose flat percentage or multiplier calculation,選擇固定增加百分比增加或倍率計算
aw_custom_court_settings_value,数值,Value,數值
aw_custom_court_settings_value_desc,填写当前计算方式使用的效果强度,Enter the magnitude used by the selected calculation mode,填寫目前計算方式使用的效果強度
aw_custom_court_settings_none,无,None,無
aw_custom_court_settings_invalid_number,品级、官位数量或最低等级不是有效数字,Grade slots or minimum rank is not a valid number,品級、官位數量或最低等級不是有效數字
aw_custom_court_settings_name_required,请输入官职名称,Enter an office name,請輸入官職名稱
aw_custom_court_settings_invalid_effect_value,效果数值无效,An effect value is invalid,效果數值無效
aw_custom_court_settings_validation_failed,官职设置不符合规则,Office settings are invalid,官職設定不符合規則
aw_custom_court_scope_kingdom,全国,Kingdom,全國
aw_custom_court_scope_city,城市,City,城市
aw_custom_court_scope_army,军队,Army,軍隊
aw_custom_court_scope_court,官场,Court,官場
aw_custom_court_mode_addpercent,百分比加成,Add Percent,百分比加成
aw_custom_court_mode_addflat,固定加成,Add Flat,固定加成
aw_custom_court_mode_multiply,倍率,Multiply,倍率
aw_custom_court_effect_taxincome,税收,Tax Income,稅收
aw_custom_court_effect_taxincome_desc,任职者在位时调整国家或城市税收,Adjusts kingdom or city tax while the office has an incumbent,任職者在位時調整國家或城市稅收
aw_custom_court_effect_foodproduction,粮食生产,Food Production,糧食生產
aw_custom_court_effect_foodproduction_desc,任职者在位时调整国家或城市粮食生产,Adjusts kingdom or city food production while the office has an incumbent,任職者在位時調整國家或城市糧食生產
aw_custom_court_effect_armymorale,军队士气,Army Morale,軍隊士氣
aw_custom_court_effect_armymorale_desc,任职者在位时调整抽象军队的战斗士气,Adjusts abstract army battle morale while the office has an incumbent,任職者在位時調整抽象軍隊的戰鬥士氣
aw_custom_court_effect_civilorder,社会秩序,Civil Order,社會秩序
aw_custom_court_effect_civilorder_desc,任职者在位时提高秩序并降低动乱风险,Raises order and lowers unrest while the office has an incumbent,任職者在位時提高秩序並降低動亂風險
aw_custom_court_effect_courtinfluence,官场影响力,Court Influence,官場影響力
aw_custom_court_effect_courtinfluence_desc,调整该任职者所属学派在官场中的影响权重,Adjusts the incumbent school influence weight in court,調整該任職者所屬學派在官場中的影響權重
aw_court_disposition Title,宫廷处置,Court Disposition,宮廷處置
aw_inheritance_laws Title,继承法,Inheritance Law,繼承法
aw_court_auxiliary_laws Title,官制辅助法,Court Auxiliary Laws,官制輔助法
aw_court_disposition_window_title,宫廷处置,Court Disposition,宮廷處置
aw_court_disposition_window_desc,处置官员与宗室并处理可能的抗命,Dispose officials and royal kin with possible resistance,處置官員與宗室並處理可能的抗命
aw_court_disposition_points,政治点,Political points,政治點
aw_court_disposition_section_office,官职与官阶,Office and Rank,官職與官階
aw_court_disposition_section_title_fief,爵位与封地,Title and Fief,爵位與封地
aw_court_disposition_section_lineage,宗籍,Lineage,宗籍
aw_court_disposition_section_feudatory,藩国处置,Feudatory,藩國處置
aw_court_disposition_select_rank,选择爵级,Select noble rank,選擇爵級
aw_court_disposition_select_city,选择城市,Select city,選擇城市
aw_court_disposition_back,返回,Back,返回
aw_court_back_to_court,返回官场,Back to Court,返回官場
aw_court_disposition_no_options,没有符合条件的选项,No eligible options are available,沒有符合條件的選項
aw_court_disposition_action_promote_rank,升阶,Promote Rank,升階
aw_court_disposition_action_demote_rank,降阶,Demote Rank,降階
aw_court_disposition_action_dismiss_office,罢黜实职,Dismiss Office,罷黜實職
aw_court_disposition_action_grant_noble_rank,授予虚爵,Grant Noble Rank,授予虛爵
aw_court_disposition_action_grant_fief,授予实土,Grant Fief,授予實土
aw_court_disposition_action_revoke_fief,收回实土,Revoke Fief,收回實土
aw_court_disposition_action_grant_surname,赐姓入宗,Grant Royal Surname,賜姓入宗
aw_court_disposition_action_expel_lineage,除籍别氏,Expel from Royal Lineage,除籍別氏
aw_court_disposition_action_relocate_feudatory,移封藩国,Relocate Feudatory,移封藩國
aw_court_disposition_action_reclaim_feudatory_city,收回藩城,Reclaim Feudatory City,收回藩城
aw_court_disposition_reason_invalid_command,处置命令无效,Invalid disposition command,處置命令無效
aw_court_disposition_reason_invalid_ruler,当前操作者不是本国在位君主,The acting ruler is not the current ruler,當前操作者不是本國在位君主
aw_court_disposition_reason_invalid_target,目标不属于当前官场或身份无效,The target is not a valid member of this court,目標不屬於當前官場或身份無效
aw_court_disposition_reason_invalid_parameter,爵级或城市参数无效,The selected rank or city is invalid,爵級或城市參數無效
aw_court_disposition_reason_ineligible_action,当前身份不符合此项处置条件,The target is not eligible for this disposition,當前身份不符合此項處置條件
aw_court_disposition_reason_insufficient_political_points,政治点不足,Insufficient political points,政治點不足
aw_court_disposition_reason_persistence_failed,处置事务写入失败,Disposition persistence failed,處置事務寫入失敗
aw_court_disposition_reason_political_spend_failed,处置已发生但政治点结算失败,Disposition occurred but point settlement failed,處置已發生但政治點結算失敗
aw_court_disposition_reason_resistance_failed,抗命条件成立但战争或政变未能启动,Resistance was triggered but no war or coup could start,抗命條件成立但戰爭或政變未能啟動
aw_court_disposition_outcome_rejected,处置被拒绝,Disposition rejected,處置被拒絕
aw_court_disposition_outcome_committed,处置已执行,Disposition committed,處置已執行
aw_court_disposition_outcome_rebelled,目标抗命并已起兵,Target resisted and rebelled,目標抗命並已起兵
aw_court_disposition_outcome_clean_failure,处置未生效且未扣点,Disposition failed without cost,處置未生效且未扣點
aw_court_disposition_outcome_unknown,处置结果无法确认且不会自动重试,Disposition outcome is unknown and will not retry,處置結果無法確認且不會自動重試
aw_court_disposition_cost,政治点成本：{0},Political cost: {0},政治點成本：{0}
aw_hist_event_court_surname_granted,赐姓入宗,Surname Granted,賜姓入宗
aw_hist_event_court_lineage_expelled,除籍别氏,Expelled from Royal Lineage,除籍別氏
aw_hist_court_surname_edict,制曰：,Edict: ,制曰：
aw_hist_court_surname_from,有劳于国特赐从, is granted a royal surname and moved from ,有勞於國特賜從
aw_hist_court_surname_to,入, into ,入
aw_hist_court_surname_by,命出, by command of ,命出
aw_hist_court_surname_suffix,附宗籍以示优宠, and enters the royal register,附宗籍以示優寵
aw_hist_court_expulsion_edict,制曰：,Edict: ,制曰：
aw_hist_court_expulsion_from,罪失宗义今从, is expelled from ,罪失宗義今從
aw_hist_court_expulsion_to,除籍另立同姓独立氏支, and establishes the independent same-surname branch ,除籍另立同姓獨立氏支
aw_hist_court_expulsion_by,命出, by command of ,命出
aw_hist_court_expulsion_suffix,父子谱系如故不得再与王统, while descent remains but royal succession rights cease,父子譜系如故不得再與王統
aw_hist_shi_suffix,氏, Shi,氏
aw_hist_unknown_shi,氏未详,unknown Shi,氏未詳
