key,cz,en,ch
aw_relation_same_father_older_brother,同父异母兄,Same-father older brother,同父異母兄
aw_relation_same_father_younger_brother,同父异母弟,Same-father younger brother,同父異母弟
aw_relation_same_father_older_sister,同父异母姐,Same-father older sister,同父異母姐
aw_relation_same_father_younger_sister,同父异母妹,Same-father younger sister,同父異母妹
aw_relation_same_mother_older_brother,同母异父兄,Same-mother older brother,同母異父兄
aw_relation_same_mother_younger_brother,同母异父弟,Same-mother younger brother,同母異父弟
aw_relation_same_mother_older_sister,同母异父姐,Same-mother older sister,同母異父姐
aw_relation_same_mother_younger_sister,同母异父妹,Same-mother younger sister,同母異父妹
aw_tree_half_sibling_on,半胞开,Half On,半胞開
aw_tree_half_sibling_off,半胞关,Half Off,半胞關
