key,cz,en,ch
aw_historical_figure_cards_title,历史人物抽卡,Historical Figure Cards,歷史人物抽卡
aw_historical_figure_cards Title,历史人物抽卡,Historical Figure Cards,歷史人物抽卡
aw_historical_figure_cards_btn,历史人物抽卡,Historical Figure Cards,歷史人物抽卡
aw_historical_figure_cards_btn Description,打开历史人物抽卡、仓库和部署界面,Open historical figure cards inventory and deployment,打開歷史人物抽卡、倉庫和部署介面
aw_historical_figure_cards_draw,抽取,Draw,抽取
aw_historical_figure_cards_skip,跳过,Skip,跳過
aw_historical_figure_cards_deploy,部署到城市,Deploy,部署到城市
aw_historical_figure_cards_confirm,确认部署,Confirm,確認部署
aw_historical_figure_cards_idle,抽取一名历史人物,Draw a historical figure,抽取一名歷史人物
aw_historical_figure_cards_rarity,帝统 0.26% | 雄主 0.64% | 显赫 3.20% | 名世 15.98% | 史载 79.92%,Emperor 0.26% | Warlord 0.64% | Eminent 3.20% | Renowned 15.98% | Recorded 79.92%,帝統 0.26% | 雄主 0.64% | 顯赫 3.20% | 名世 15.98% | 史載 79.92%
aw_historical_figure_cards_collection_hint,目录按名气排序；点击已拥有的人物查看详情。,Collection sorted by fame. Select an owned card for details.,目錄按名氣排序；點擊已擁有的人物查看詳情。
aw_historical_figure_cards_crates_hint,选择一个历史时期箱子。,Choose a historical period crate.,選擇一個歷史時期箱子。
aw_historical_figure_cards_crate_body,{0} · {1} · {2},{0} · {1} · {2},{0} · {1} · {2}
aw_historical_figure_cards_crate_item,{0}\n{1},{0}\n{1},{0}\n{1}
aw_historical_figure_cards_crate_count,{0} 人物,{0} figures,{0} 人物
aw_historical_figure_cards_inventory,仓库,Inventory,倉庫
aw_historical_figure_cards_inventory_hint,已拥有的历史人物。,Owned historical figures.,已擁有的歷史人物。
aw_historical_figure_cards_inventory_empty,仓库为空。,The inventory is empty.,倉庫為空。
aw_historical_figure_cards_inventory_summary,共拥有 {0} 张人物卡 · 按{1}排序,{0} figure cards owned · sorted by {1},共擁有 {0} 張人物卡 · 按{1}排序
aw_historical_figure_cards_inventory_stat,{0} {1} · {2:0.0}%,{0} {1} · {2:0.0}%,{0} {1} · {2:0.0}%
aw_historical_figure_cards_sort_latest,最新,Latest,最新
aw_historical_figure_cards_sort_rarity,稀有度,Rarity,稀有度
aw_historical_figure_cards_sort_name,姓名,Name,姓名
aw_historical_figure_cards_sort_fame,名气,Fame,名氣
aw_historical_figure_cards_back,返回箱子,Back to crates,返回箱子
aw_historical_figure_cards_crates_title,历史人物箱子,Historical Figure Crates,歷史人物箱子
aw_historical_figure_cards_crate_title,历史时期箱子,Historical Period Crate,歷史時期箱子
aw_historical_figure_cards_inventory_title,历史人物仓库,Historical Figure Inventory,歷史人物倉庫
aw_historical_figure_cards_crate_card_item,{0} [{1}],{0} [{1}],{0} [{1}]
aw_historical_figure_cards_crate_pre_qin_qin_name,先秦·秦,Pre-Qin and Qin,先秦·秦
aw_historical_figure_cards_crate_pre_qin_qin_description,从周代到秦帝国的历史人物,Figures from Zhou through the Qin Empire,從周代到秦帝國的歷史人物
aw_historical_figure_cards_crate_han_name,汉,Han,漢
