key,cz,en,ch
aw_figure_ji_fa,姬发,Ji Fa,姬發
aw_figure_ji_fa_dynasty,西周,Western Zhou,西周
aw_figure_ying_zheng,嬴政,Ying Zheng,嬴政
aw_figure_ying_zheng_dynasty,秦,Qin,秦
aw_figure_liu_bang,刘邦,Liu Bang,劉邦
aw_figure_liu_bang_dynasty,西汉,Western Han,西漢
aw_figure_cao_pi,曹丕,Cao Pi,曹丕
aw_figure_cao_pi_dynasty,曹魏,Cao Wei,曹魏
aw_figure_sima_yan,司马炎,Sima Yan,司馬炎
aw_figure_sima_yan_dynasty,西晋,Western Jin,西晉
aw_figure_wang_mang,王莽,Wang Mang,王莽
aw_figure_wang_mang_dynasty,新,Xin,新
aw_figure_liu_xiu,刘秀,Liu Xiu,劉秀
aw_figure_liu_xiu_dynasty,东汉,Eastern Han,東漢
aw_figure_liu_bei,刘备,Liu Bei,劉備
aw_figure_liu_bei_dynasty,蜀汉,Shu Han,蜀漢
aw_figure_sun_quan,孙权,Sun Quan,孫權
aw_figure_sun_quan_dynasty,孙吴,Eastern Wu,孫吳
aw_figure_zhang_gui,张轨,Zhang Gui,張軌
aw_figure_zhang_gui_dynasty,前凉,Former Liang,前涼
aw_figure_liu_yuan,刘渊,Liu Yuan,劉淵
aw_figure_liu_yuan_dynasty,汉赵,Han-Zhao,漢趙
aw_figure_li_xiong,李雄,Li Xiong,李雄
aw_figure_li_xiong_dynasty,成汉,Cheng-Han,成漢
aw_figure_sima_rui,司马睿,Sima Rui,司馬睿
aw_figure_sima_rui_dynasty,东晋,Eastern Jin,東晉
aw_figure_shi_le,石勒,Shi Le,石勒
aw_figure_shi_le_dynasty,后赵,Later Zhao,後趙
aw_figure_murong_huang,慕容皝,Murong Huang,慕容皝
aw_figure_murong_huang_dynasty,前燕,Former Yan,前燕
aw_figure_fu_jian_351,苻健,Fu Jian,苻健
aw_figure_fu_jian_351_dynasty,前秦,Former Qin,前秦
aw_figure_yao_chang,姚苌,Yao Chang,姚萇
aw_figure_yao_chang_dynasty,后秦,Later Qin,後秦
aw_figure_qifu_guoren,乞伏国仁,Qifu Guoren,乞伏國仁
aw_figure_qifu_guoren_dynasty,西秦,Western Qin,西秦
aw_figure_murong_chui,慕容垂,Murong Chui,慕容垂
aw_figure_murong_chui_dynasty,后燕,Later Yan,後燕
