key,cz,en,ch
aw_policy_back_to_kingdom,返回国家,Return to Kingdom,返回國家
aw_policy_tree Title,国策科技,Policy and Tech,國策科技
aw_policy_tree_title,国策科技,Policy and Tech,國策科技
aw_policy_no_kingdom,王国不存在,Kingdom missing,王國不存在
aw_policy_tech_section,科技研发,Technology,科技研發
aw_policy_social_section,社会国策,Social Policy,社會國策
aw_policy_points_short,政,Pol,政
aw_tech_points_short,技,Tech,技
aw_policy_class_state,政治状态,Political State,政治狀態
aw_policy_current_research,当前研发,Current Research,目前研發
aw_policy_research_progress,研发进度,Research Progress,研發進度
aw_policy_no_current_research,当前没有研发,No active research,目前沒有研發
aw_policy_idle,待定,Idle,待定
aw_policy_disabled,国策未启用,Policy Disabled,國策未啟用
aw_policy_disabled_desc,该国尚未参与AW3国策，可以手动启用以保留Human玩家选择,This realm has not joined AW3 policy yet and can be enabled manually,該國尚未參與AW3國策，可以手動啟用以保留Human玩家選擇
aw_policy_unsupported,当前物种不支持AW3国策,Species not supported by AW3 policy,目前物種不支援AW3國策
aw_policy_unsupported_desc,目前AW3国策只对Xia默认启用，Human需要手动开启,AW3 policy is enabled by default for Xia and Human must be enabled manually,目前AW3國策只對Xia預設啟用，Human需要手動開啟
aw_policy_click_to_enable,点击进入国策窗口，可以为Human国家手动启用,Open the policy window to enable Human realms manually,點擊進入國策視窗，可以為Human國家手動啟用
aw_policy_enable_manual,启用国策,Enable Policy,啟用國策
aw_policy_enable_manual_desc,启用国策但不让AI自动选择研发,Enable policy without automatic AI choices,啟用國策但不讓AI自動選擇研發
aw_policy_enable_ai,启用自动,Enable Auto,啟用自動
aw_policy_enable_ai_desc,启用国策并允许AI只在空槽时自动选择,Enable policy and let AI choose only empty slots,啟用國策並允許AI只在空槽時自動選擇
aw_policy_ai_toggle,自动研发,Auto Research,自動研發
aw_policy_ai_on,AI开,AI On,AI開
aw_policy_ai_off,AI关,AI Off,AI關
aw_policy_ai_on_desc,AI会在空槽时自动选择科技国策和决策,AI fills empty tech policy and decision slots,AI會在空槽時自動選擇科技國策和決策
aw_policy_ai_off_desc,AI不会填充空槽只保留玩家手动选择,AI will not fill empty slots and manual choice is preserved,AI不會填充空槽只保留玩家手動選擇
aw_policy_cost,需求,Cost,需求
aw_policy_status,状态,Status,狀態
aw_policy_progress,进度,Progress,進度
aw_policy_remaining,剩余,Remaining,剩餘
aw_policy_yearly_gain,年增长,Yearly Gain,年增長
aw_policy_estimated_years,预计年数,Estimated Years,預計年數
aw_policy_monthly_gain,月增长,Monthly Gain,月增長
aw_policy_estimated_months,预计月数,Estimated Months,預計月數
aw_policy_missing,未满足,Missing,未滿足
aw_policy_tech_prereq,科技前置,Tech Prerequisite,科技前置
aw_policy_policy_prereq,国策前置,Policy Prerequisite,國策前置
aw_policy_cross_tech_prereq,科技前提,Tech Requirement,科技前提
aw_policy_completed,已完成,Completed,已完成
aw_policy_current,进行中,In Progress,進行中
aw_policy_available,可研发,Available,可研發
aw_policy_locked,未解锁,Locked,未解鎖
aw_policy_force_switch_hint,点击强制切换为当前研发,Click to force switch current research,點擊強制切換為目前研發
aw_policy_class_default,部落制,Tribal,部落制
aw_policy_class_slaveowner,奴隶制,Slavery,奴隸制
aw_policy_class_halfaristocrat,半贵族制,Half Aristocracy,半貴族制
aw_policy_class_aristocrat,封建贵族,Feudal Nobility,封建貴族
aw_policy_class_reform,改革制,Reform,改革制
aw_policy_class_republic,共和政体,Republic,共和政體
aw_policy_class_peasant_rebel,农民义军,Peasant Rebel Army,農民義軍
aw_policy_class_default_desc,以基础血缘和聚落秩序维持的早期国家,Early state maintained by kinship and settlements,以基礎血緣和聚落秩序維持的早期國家
aw_policy_class_slaveowner_desc,国家承认奴隶劳役与奴隶军体系,The kingdom recognizes slave labor and slave armies,國家承認奴隸勞役與奴隸軍體系
aw_policy_class_halfaristocrat_desc,奴隶制向贵族分层过渡,Transition from slavery toward layered nobility,奴隸制向貴族分層過渡
aw_policy_class_aristocrat_desc,贵族和氏支成为地方秩序核心,Nobles and clan branches anchor local order,貴族和氏支成為地方秩序核心
aw_policy_class_reform_desc,改革旧制推动废奴和更集中的国家秩序,Reform old institutions toward abolition and central order,改革舊制推動廢奴和更集中的國家秩序
aw_policy_class_republic_desc,无可立之君时的共和政体，国家不再使用君主爵位后缀,Republican rule when no monarch can be selected; the realm no longer uses monarchic title suffixes,無可立之君時的共和政體，國家不再使用君主爵位後綴
aw_policy_class_peasant_rebel_desc,义军军政府不设禁卫军并动员成年男性保卫起义,Rebel military government with no royal guard and mass mobilization,義軍軍政府不設禁衛軍並動員成年男性保衛起義
aw_policy_class_manual_desc,手动切换属于上帝类操作，AI只会在完成对应科技和国策后自动改变政体,Manual switching is a god action and AI only changes government after completing policies,手動切換屬於上帝類操作，AI只會在完成對應科技和國策後自動改變政體
aw_action_family_tree,定位族谱,Family Tree,定位族譜
aw_action_family_tree_desc,打开该人物的家庭树,Open this person's family tree,打開該人物的家庭樹
aw_locate_clan_tree,定位氏族大树,Locate Clan Tree,定位氏族大樹
aw_locate_clan_tree_desc,在氏族大树中定位该人物并只展开相关祖先链,Locate this person in the clan tree and expand only the ancestor path,在氏族大樹中定位該人物並只展開相關祖先鏈
aw_tree_locate_target,目标,Target,目標
aw_war_targets,战争目标,War Targets,戰爭目標
aw_war_targets Title,战争目标,War Targets,戰爭目標
aw_war_targets_title,战争目标,War Targets,戰爭目標
aw_war_targets_desc,宣战理由与战争目的,Casus Belli and War Goals,宣戰理由與戰爭目的
aw_view_war_targets,查看宣战理由战争目的和制造核心宣称,View casus belli war goals and core claim fabrication,查看宣戰理由戰爭目的和製造核心宣稱
aw_war_no_targets,当前没有可用目标,No available targets,目前沒有可用目標
aw_war_fabricate_core,制造核心,Fabricate Core,製造核心
aw_war_fabricate_core_desc,在本国控制的非核心城市制造核心,Fabricate a core in a controlled non-core city,在本國控制的非核心城市製造核心
aw_war_fabricate_weak_claim,制造弱宣称,Fabricate Weak Claim,製造弱宣稱
aw_war_fabricate_strong_claim,制造强宣称,Fabricate Strong Claim,製造強宣稱
aw_war_fabricate_strong_claim_desc,在接壤的他国城市制造更稳定的强宣称,Fabricate a stronger claim on a bordering foreign city,在接壤的他國城市製造更穩定的強宣稱
aw_war_reclaim_core,收复核心,Reclaim Core,收復核心
aw_war_press_claim,按宣称宣战,Press Claim,按宣稱宣戰
aw_war_force_vassal,附庸战争,Vassal War,附庸戰爭
aw_war_independence,独立战争,Independence War,獨立戰爭
aw_war_restore_kingdom,复国战争,Restoration War,復國戰爭
aw_war_mandate_conquest,天命征服,Mandate Conquest,天命征服
aw_war_mandate_conquest_desc,天命国对弱小外国发动征服战争，不需制造宣称且不受强宣惩罚,Mandate realms can conquer weaker foreign realms without fabricating claims or taking no-CB penalties,天命國對弱小外國發動征服戰爭，不需製造宣稱且不受強宣懲罰
aw_war_no_cb,强宣,No-CB War,強宣
aw_decision_declare_war,兴师宣战,Declare War,興師宣戰
aw_decision_declare_war_desc,按已选定的宣战理由和战争目标发动战争,Start a war using the selected casus belli and war goal,按已選定的宣戰理由和戰爭目標發動戰爭
aw_tech_writing,文字记事,Writing Records,文字記事
aw_tech_writing_desc,建立稳定的政府记录并解锁更复杂的国策,Create stable records and unlock more complex policies,建立穩定的政府記錄並解鎖更複雜的國策
aw_tech_pottery_casting,陶范铸造,Clay Mold Casting,陶範鑄造
aw_tech_pottery_casting_desc,用陶范稳定器物与兵器铸造并奠定青铜技术基础,Use clay molds to stabilize tool and weapon casting,用陶範穩定器物與兵器鑄造並奠定青銅技術基礎
aw_tech_bronze_casting,青铜铸造,Bronze Casting,青銅鑄造
aw_tech_bronze_casting_desc,改良兵器与礼器并奠定成熟制度基础,Improve weapons and ritual craft for state institutions,改良兵器與禮器並奠定成熟制度基礎
aw_tech_iron_plow,铁铸犁,Iron Plow,鐵鑄犁
aw_tech_iron_plow_desc,推动农业工具改良并作为废奴转型前提,Improve farming tools and prepare abolition reforms,推動農業工具改良並作為廢奴轉型前提
aw_tech_well_field_survey,井田测绘,Field Surveying,井田測繪
aw_tech_well_field_survey_desc,整理田界与聚落记录并提供征发和分封的地籍基础,Survey fields and settlements for levies and enfeoffment,整理田界與聚落記錄並提供徵發和分封的地籍基礎
aw_tech_granary_accounting,仓储记账,Granary Accounting,倉儲記帳
aw_tech_granary_accounting_desc,用符籍管理仓廪和贡赋使大国动员更稳定,Track granaries and tribute for steadier state mobilization,用符籍管理倉廩和貢賦使大國動員更穩定
aw_tech_chariot_training,车战训练,Chariot Training,車戰訓練
aw_tech_chariot_training_desc,建立车士训练和战阵协同并支撑军功制度,Train chariot warriors and formations for military merit,建立車士訓練和戰陣協同並支撐軍功制度
aw_tech_city_defense,城防营造,City Defenses,城防營造
aw_tech_city_defense_desc,改良城墙壕沟与守备设施并支持边邑封建,Improve walls moats and garrisons for border fiefs,改良城牆壕溝與守備設施並支持邊邑封建
aw_tech_rites_music,礼乐制度,Rites and Music,禮樂制度
aw_tech_rites_music_desc,把祭祀宴会和贵族等级纳入固定仪制,Formalize rites feasts and noble rank order,把祭祀宴會和貴族等級納入固定儀制
