key,cz,en,ch
aw_hist_event_subject_consort_offered,藩属进献妃子,Subject Offered Consort,藩屬進獻妃子
aw_hist_subject_consort_tributary_mid,以朝贡妃身份入宫为, entered the court as a tributary consort of ,以朝貢妃身份入宮為
aw_hist_subject_consort_vassal_mid,以附庸贡妃身份入宫为, entered the court as a vassal-offered consort of ,以附庸貢妃身份入宮為
aw_ruler_household,后宫,Ruler Household,後宮
aw_ruler_household_offer,提供后妃,Offer Consort,提供後妃
aw_ruler_household_domestic_select,册立后妃,Appoint Household Member,冊立後妃
aw_household_button,后宫,Household,後宮
aw_household_button_desc,查看君主的正妻、妾室及子女情况,View the ruler's principal wife consorts and children,查看君主的正妻、妾室及子女情況
aw_household_action_appoint_principal,册立正妻,Appoint Principal Wife,冊立正妻
aw_household_action_take_consort,纳妾,Take Consort,納妾
aw_household_action_principal_exists,已有正妻,Wife Appointed,已有正妻
aw_household_action_consort_full,妾室已满,Consorts Full,妾室已滿
aw_diplomacy_action_household_offering,提供后妃,Offer Consort,提供後妃
aw_household_kind_principal_wife,正妻,Principal Wife,正妻
aw_household_kind_consort,妾室,Consort,妾室
aw_household_offer_our_noblewomen,本国贵族宗族女子,Our Noblewomen,本國貴族宗族女子
aw_household_domestic_candidates,本国后宫候选,Domestic Candidates,本國後宮候選
aw_household_offer_recipient_ruler,受纳君主,Recipient Ruler,受納君主
aw_household_offer_confirm,发出后妃提议,Send Household Proposal,發出後妃提議
aw_household_offer_back_diplomacy,返回外交,Back to Diplomacy,返回外交
aw_household_offer_no_candidate,无合适女子,No Eligible Candidate,無合適女子
aw_household_offer_ready,选择一名贵族宗族女子并发出提议,Select a noblewoman and send the proposal,選擇一名貴族宗族女子並發出提議
aw_household_domestic_select_ready,选择一名本国合适女子册立入宫,Select a domestic household candidate,選擇一名本國合適女子冊立入宮
aw_household_domestic_confirm,确认册立,Confirm Appointment,確認冊立
aw_household_domestic_back,返回后宫,Back to Household,返回後宮
aw_household_consort_capacity,妾室,Consorts,妾室
aw_household_section_principal_wife,正妻,Principal Wife,正妻
aw_household_section_consorts,妾室,Consorts,妾室
aw_household_empty_principal_wife,尚无正妻,No Principal Wife,尚無正妻
aw_household_section_royal_husband,王夫,Prince Consort,王夫
aw_household_empty_royal_husband,尚无王夫,No Prince Consort,尚無王夫
aw_household_empty_consorts,尚无妾室,No Consorts,尚無妾室
aw_household_unavailable,后宫档案不可用,Household Unavailable,後宮檔案不可用
aw_household_unknown,不详,Unknown,不詳
aw_household_age,年龄,Age,年齡
aw_household_origin,出身国,Origin Realm,出身國
aw_household_lineage,宗族,Lineage,宗族
aw_household_entry_year,入宫年,Entry Year,入宮年
aw_household_living_children,在世子女,Living Children,在世子女
aw_household_status_active,在宫,In Household,在宮
aw_household_status_unavailable,情况不明,Unavailable,情況不明
aw_household_title_empress,皇后,Empress,皇后
aw_household_title_queen,王后,Queen,王后
aw_household_title_principal_wife,正妻,Principal Wife,正妻
aw_household_title_royal_husband,王夫,Prince Consort,王夫
aw_household_title_imperial_consort,帝妃,Imperial Consort,帝妃
aw_household_title_royal_consort,王妃,Royal Consort,王妃
aw_household_title_secondary_consort,妾室,Consort,妾室
aw_diplomacy_household_unknown_person,宫中人,Court Member,宮中人
aw_diplomacy_household_offer_subject,{0}：拟以{1}为{2}之{3},{0}: offer {1} to {2} as {3},{0}：擬以{1}為{2}之{3}
aw_household_reply_principal_accept,{0}答复：纳其为正妻。,{0} replies: We accept her as principal wife.,{0}答覆：納其為正妻。
