key,cz,en,ch
KingdomPolicy,国策,Kingdom Policy,國策
KingdomPolicy Description,显示一个国家的国策树,Show a kingdom's policy,顯示一個國家的國策樹
KingdomPolicyWindow Title,国策窗口,Kingdom Policy,國策窗口
KingdomMoHWindow Title,天命国家,Mandate of Heaven,天命國家
KingdomPolicyGraphWindow Title,国策图,Kingdom Policy Graph,國策圖
KingdomHistoryWindow Title,国家历史,Kingdom History,國家歷史
Suzerain,宗主国,Suzerain Kingdom,宗主國
kingdom_statistics_suzerain,宗主国\n$kingdom$,Suzerain Kingdom\n$kingdom$,宗主國\n$kingdom$
policy_state,政治状态,Policy State,政治狀態
policy_queue,国策队列,Policy Queue,國策隊列
optional_policies,可选国策,Optional Policies,可選國策
NoMoHKingdom,无天命国家,No Mandate of Heaven Kingdom,無天命國家
rule_time,$start_time$~$end_time$,$start_time$~$end_time$,$start_time$~$end_time$
rule_time_now,至今,Now,至今
AW_History Population,人口,Population,人口
AW_History Population Description,人口变化趋势和组成,Demographic trends and population composition,人口變化趨勢和組成
AW_History Territory,领土,Territory,領土
AW_History Territory Description,领土变化趋势,Trend of territorial change,領土變化趨勢
AW_History War,战争,War,戰爭
AW_History War Description,统治期间参加的战争,Wars fought during his reign,統治期間參加的戰爭
AW_History Policy,政策,Policy,政策
AW_History Policy Description,统治期间推行的政策,Policies was introduced during the reign,統治期間推行的政策
AW_History Review,综述,Review,綜述
AW_History Review Description,统治期间概览,Review during the reign,統治期間概覽
vassal,创建附庸关系,Make a vassal,創建附庸關係
vassal Description,依次选择附庸与宗主国以建立关系,Select a vassal and a suzerain to create a vassalage,依次選擇附庸與宗主國以建立關係
vassal_remove,解除附庸关系,Remove a vassal,解除附庸關係
vassal_remove Description,选择要解除附庸关系的附庸国,Select a vassal to remove its vassalage,選擇要解除附庸關係的附庸國
spawn_xia,夏人,Xia,夏人
spawn_xia Description,生成夏人,Spawn Xia people,生成夏人
TianMing_board,天命面板,Mandate of Heaven Board,天命面板
TianMing_board Description,查看世界中拥有天命的单位,View The Significant Units Within Your World,查看世界中擁有天命的單位
Kingdom_History,国家历史,Kingdoms History,國家歷史
Kingdom_History Description,查看所有国家历史,View all Kingdoms History,查看所有國家歷史
historical_figure,禁止生成历史人物,Randomly Generate Historical Figures,禁止生成歷史人物
historical_figure Description,启用该按钮后将禁止生成历史人物,Disable the generation of historical figures(Enable the button to disable the function),啟用該按鈕後將禁止生成歷史人物
AW2 Description,古代战争2,AncientWarfare 2 ,古代戰爭2
AW2,春秋,AncientWarfare 2 ,春秋
pay_tax,中央税赋,Tax for Capital,中央稅賦
tax_income,地方税收,City Tax Income,地方稅收
Xia,夏,Xia,夏
nomads_Xia,夏部落,Xia Tribe,夏部落
