key,cz,en,ch
plot_reclaim_war,收复战争,War of Reclaim,收復戰爭
plot_description_reclaim_war,$initiator_kingdom$向$target_kingdom$发起收复战争,$initiator_kingdom$ declared a reclaim war to $target_kingdom$,$initiator_kingdom$向$target_kingdom$發起收復戰爭
plot_historical_character_usurpation,篡位,Usurpation,篡位
plot_description_historical_character_usurpation,$initiator_kingdom$的$initiator_actor$正在试图篡夺王位。,$initiator_kingdom$'s $initiator_actor$ is attempting to usurp the throne.,$initiator_kingdom$的$initiator_actor$正在試圖篡奪王位。
plot_vassal_war,附庸战争,Vassal War,附庸戰爭
plot_description_vassal_war,$initiator_kingdom$向$target_kingdom$发起附庸战争,$initiator_kingdom$ declared a vassal war to $target_kingdom$,$initiator_kingdom$向$target_kingdom$發起附庸戰爭
plot_active_vassal,主动附庸,Active Vassal,主動附庸
plot_description_active_vassal,$initiator_kingdom$尝试附庸于$target_kingdom$寻求帮助,$initiator_kingdom$ tries to be vassal of $target_kingdom$ for help,$initiator_kingdom$嘗試附庸於$target_kingdom$尋求幫助
plot_absorb_vassal,吞并附庸,Absorb Vassal,吞併附庸
plot_description_absorb_vassal,$initiator_kingdom$正在试图吞并$target_kingdom$,$initiator_kingdom$ is attempting to absorb $target_kingdom$,$initiator_kingdom$正在試圖吞併$target_kingdom$
plot_Independence_War,独立战争,Independence War,獨立戰爭
plot_description_Independence_War,$initiator_kingdom$正在试图独立。,$initiator_kingdom$ trying to Independence.,$initiator_kingdom$正在試圖獨立。
